condition_id,target,prompt_shape,concurrency,request_count_per_mode,predicted_cache_hit_ratio,observed_cache_hit_ratio,prediction_absolute_error,cache_off_ttft_p50_ms,cache_on_ttft_p50_ms,ttft_change_percent,cache_off_tpot_p50_ms,cache_on_tpot_p50_ms,cache_off_latency_p50_ms,cache_on_latency_p50_ms,cache_off_latency_p95_ms,cache_on_latency_p95_ms,cache_off_latency_p99_ms,cache_on_latency_p99_ms,cache_off_input_tokens_per_second,cache_on_input_tokens_per_second,cache_off_output_tokens_per_second,cache_on_output_tokens_per_second,output_throughput_change_percent,cache_off_peak_gpu_memory_gib,cache_on_peak_gpu_memory_gib,cache_off_cost_per_million_output_tokens_usd,cache_on_cost_per_million_output_tokens_usd
base-agentic-c32,base,agentic,32,32,0.8918918918918919,0.8918918918918919,0.0,244.6915845000035,238.94894900000452,-2.346887209763804,39.89067453333348,38.84494380000092,858.9501670000033,838.2577520000041,891.6088176999934,870.4871401999939,893.1997618799983,872.2696084600123,2908.4337255971172,2983.6349137266006,567.4992635311448,582.1726660929953,2.5856249522771657,17.919921875,17.91796875,0.7021056590720623,0.684409398878919
base-agentic-c64,base,agentic,64,64,0.9459459459459459,0.9459459459459459,0.0,462.19324700000186,426.28345299999637,-7.76943285802818,46.47500876666584,44.45555053333313,1171.5531724999978,1106.3709675000127,1206.2348753500175,1143.0046106500113,1210.445881579997,1145.9229222699992,4248.199370988336,4512.188547163544,828.9169504367486,880.4270335928867,6.214142819615143,17.919921875,17.91796875,0.4806807777721373,0.45255816693684914
adapter-short-c1,adapter,short,1,32,0.859375,0.859375,0.0,144.97365199999024,143.05127049999555,-1.3260212966110685,59.40207560000014,59.03330823333306,1035.5400864999922,1023.5178020000149,1063.20969449999,1124.5148499499962,3855.282624839998,3749.640622559999,31.721286582249856,31.981500400468388,13.610517426294058,13.722166261792665,0.8203129388961727,17.919921875,17.91796875,29.274746283685925,29.0365556605923
adapter-short-c8,adapter,short,8,32,0.859375,0.859375,0.0,1491.362645999999,203.52001849998658,-86.3534185299699,66.97427663333428,66.17384227272862,2377.801649999995,1710.1696779999997,6625.825784150001,5052.618057050007,6653.023965999991,5055.773114649998,99.798416772207,117.25972217970907,42.82008193686391,50.31212993177829,17.496575569287877,17.919921875,17.91796875,9.305083652850806,7.919450935285845
adapter-short-c32,adapter,short,32,32,0.859375,0.859375,0.0,363.54592949999187,325.7851319999929,-10.386802446649257,66.79045372727252,68.62210773333382,1342.8969069999823,1362.125929499996,1386.2375789500136,1408.0339007999937,1387.1529875700132,1409.3698087299904,827.6483296015084,813.8067204223597,355.1155462650071,349.1765859251647,-1.6724022370483316,17.919921875,17.91796875,1.12201352105014,1.1410972571048585
adapter-short-c64,adapter,short,64,64,0.9296875,0.9296875,0.0,490.17465599999355,1742.197301999994,255.42378225283375,67.87929713333179,68.52281636363439,1486.1960009999962,2692.7224730000034,1555.7896531999945,2803.6767038999856,1559.128333009976,2805.7110662900104,1467.7745709309088,818.427020294441,629.7717882194903,351.1589983270266,-44.24027800295185,17.919921875,17.91796875,0.6326806819513757,1.1346553736133569
adapter-long-c1,adapter,long,1,32,0.7563405797101449,0.7481884057971014,0.008152173913043459,150.67468750001467,147.5158565000072,-2.0964576415711256,64.10968916666586,63.52019758333208,990.0991230000216,982.0854544999804,1385.8002815000075,1327.5465792499942,2020.1511070600184,1988.4034597699742,531.4508663472781,535.9388779649578,13.458975324348367,13.812857679509221,2.6293409909196708,17.919921875,17.91796875,29.604366962737977,28.845909636462817
adapter-long-c8,adapter,long,8,32,0.7563405797101449,0.7481884057971014,0.008152173913043459,210.54968699996834,206.98264649999487,-1.6941561637059177,66.93921899038604,65.36876165833263,1092.6513690000093,1165.9679555000366,1245.959172399992,1285.958578249992,1311.2121823700177,1406.505752599971,3870.2247957079426,3854.3061253793126,98.88068729509311,101.28135212925244,2.4278399552330576,17.919921875,17.91796875,4.029547683617456,3.9340355955749953
adapter-long-c32,adapter,long,32,32,0.7563405797101449,0.7481884057971014,0.008152173913043459,534.8369069999706,333.23701449995724,-37.69371370252584,67.3598301698707,65.6027343333335,1410.2508914999987,1197.7969029999826,1665.7023926500215,1322.0373172500103,1707.1754648700205,1323.2572712299807,10263.122003681214,13379.420579618958,255.8880149954135,349.32821549206824,36.5160519527769,17.919921875,17.91796875,1.5571047532319406,1.1406019519012816
adapter-long-c64,adapter,long,64,64,0.8781702898550725,0.8686594202898551,0.009510869565217406,895.7344315000171,504.89082249998773,-43.63387129659779,68.45373823333603,77.60574260000035,1793.0206075000115,1590.2014174999977,2318.898248650032,1724.0533295999937,2416.4992930599938,1727.0772803399968,14410.867192964133,20447.599605094616,362.93617230151153,538.4565113398963,48.36121401880278,17.919921875,17.91796875,1.0978361344303653,0.7399751624378251
adapter-agentic-c1,adapter,agentic,1,32,0.8918918918918919,0.8918918918918919,0.0,147.46523999997407,145.41273500000784,-1.3918568199303039,60.912149933333616,59.622449300000355,1048.2608249999998,1030.9046585000203,1073.3265839500148,1062.8242741000265,1079.635529640014,1073.164258520036,80.92877695722854,82.13732949007347,14.92741160339124,15.150330591919039,1.493353264789432,17.919921875,17.91796875,26.692132235030286,26.299389444146446
adapter-agentic-c8,adapter,agentic,8,32,0.8918918918918919,0.8918918918918919,0.0,204.3275979999919,201.4873795000085,-1.3900317567397402,66.40534936666616,66.19840373333355,1193.835633500015,1192.4754514999734,1233.1677779500267,1219.7505647500038,1242.350072470016,1221.7135876800028,552.7295043205567,555.3661770061269,101.10905566839452,102.43796862460573,1.314336235687552,17.919921875,17.91796875,3.940739450195394,3.8896168070706705
adapter-agentic-c32,adapter,agentic,32,32,0.8918918918918919,0.8918918918918919,0.0,334.3881580000243,321.8318325000098,-3.755015002658557,67.95896610000038,66.9581227499985,1343.5112760000152,1311.4705625000056,1384.7186357499822,1339.8714116000008,1386.0845944399846,1340.602409419982,1880.2116323507432,1945.316630565953,343.2246081920755,358.8160248452444,4.542627853898984,17.919921875,17.91796875,1.1608854229399161,1.1104421677272962
adapter-agentic-c64,adapter,agentic,64,64,0.9459459459459459,0.9459459459459459,0.0,503.00060250003753,457.3778289999666,-9.07012303232132,68.16006853333458,67.15417050000194,1448.689467500003,1403.333898999989,1568.5238809500106,1481.3083070499886,1571.4321979900149,1483.0907112700045,3296.0274070708515,3486.92586879385,587.2304926850697,620.5771268013445,5.678627818490778,17.919921875,17.91796875,0.6785145686535887,0.6420546733621271
